idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
3143.png	spaz           3    None      holo      blue      
3144.png	db             1    leaf      acog      green     
3145.png	db             8    None      dot       green     
3146.png	p90            2    medal     None      green     
3147.png	spaz           4    pinata    None      green     
3148.png	deagle         4    None      holo      blue      
3149.png	mp5            3    pinata    holo      green     
3150.png	hunting_rifle  3    pinata    None      red       
3151.png	ak47           1    dice      acog      blue      
3152.png	revolver       5    None      dot       red       
3153.png	l96            3    leaf      None      purple    
3154.png	hunting_rifle  None leaf      acog      green     
3155.png	deagle         3    None      holo      blue      
3156.png	l96            8    None      holo      green     
3157.png	db             5    None      acog      green     
3158.png	deagle         None None      None      green     
3159.png	spaz           2    leaf      acog      purple    
3160.png	revolver       2    dice      holo      purple    
3161.png	revolver       3    dice      dot       purple    
3162.png	ak47           4    None      acog      green     
3163.png	db             1    None      acog      green     
3164.png	mp5            None pinata    None      green     
3165.png	mp5            5    None      None      blue      
3166.png	deagle         None None      None      purple    
3167.png	mp5            1    None      None      green     
3168.png	mp5            2    None      None      purple    
3169.png	deagle         2    disco     holo      green     
3170.png	ak47           5    disco     None      green     
3171.png	spaz           None disco     holo      green     
3172.png	db             4    disco     thermal   blue      
3173.png	p90            None None      None      green     
3174.png	revolver       5    dice      acog      blue      
3175.png	db             3    None      None      red       
3176.png	p90            4    leaf      holo      purple    
3177.png	deagle         4    None      dot       green     
3178.png	revolver       4    disco     None      green     
3179.png	ray_gun        2    leaf      None      blue      
3180.png	mp5            4    None      dot       green     
3181.png	revolver       5    dice      dot       green     
3182.png	deagle         None medal     dot       blue      
